id,name,height,weight,base_experience,type,hp,attack,defense,speed,total_stats
1,Bulbasaur,7,69,64,Grass,45,49,49,45,188
2,Ivysaur,10,130,142,Grass,60,62,63,60,245
3,Venusaur,20,1000,236,Grass,80,82,83,80,325
4,Charmander,6,85,62,Fire,39,52,43,65,199
5,Charmeleon,11,190,142,Fire,58,64,58,80,260
6,Charizard,17,905,240,Fire,78,84,78,100,340
7,Squirtle,5,90,63,Water,44,48,65,43,200
8,Wartortle,10,225,142,Water,59,63,80,58,260
9,Blastoise,16,855,239,Water,79,83,100,78,340
10,Caterpie,3,29,39,Bug,45,30,35,45,155
11,Metapod,7,99,72,Bug,50,20,55,30,155
12,Butterfree,11,320,178,Bug,60,45,50,70,225
13,Weedle,3,32,39,Bug,40,35,30,50,155
14,Kakuna,6,100,72,Bug,45,25,50,35,155
15,Beedrill,10,295,178,Bug,65,90,40,75,270
16,Pidgey,3,18,50,Normal,40,45,40,56,181
17,Pidgeotto,11,300,122,Normal,63,60,55,71,249
18,Pidgeot,15,395,216,Normal,83,80,75,101,339
19,Rattata,3,35,51,Normal,30,56,35,72,193
20,Raticate,7,185,145,Normal,55,81,60,97,293
21,Spearow,3,20,52,Normal,40,60,30,70,200
22,Fearow,12,380,155,Normal,65,90,65,100,320
23,Ekans,20,69,58,Poison,35,60,44,55,194
24,Arbok,35,650,157,Poison,60,95,69,80,304
25,Pikachu,4,60,112,Electric,35,55,40,90,220
26,Raichu,8,300,218,Electric,60,90,55,110,315
27,Sandshrew,6,120,60,Ground,50,75,85,40,250
28,Sandslash,10,295,158,Ground,75,100,110,65,350
29,Nidoran-f,4,70,55,Poison,55,47,52,41,195
30,Nidorina,8,200,128,Poison,70,62,67,56,255
31,Nidoqueen,13,600,227,Poison,90,92,87,76,345
32,Nidoran-m,5,90,55,Poison,46,57,40,50,193
33,Nidorino,9,195,128,Poison,61,72,57,65,255
34,Nidoking,14,620,227,Poison,81,102,77,85,345
35,Clefairy,6,75,113,Fairy,70,45,48,35,198
36,Clefable,13,400,217,Fairy,95,70,73,60,298
37,Vulpix,6,99,60,Fire,38,41,40,65,184
38,Ninetales,11,199,177,Fire,73,76,75,100,324
39,Jigglypuff,5,55,95,Normal,115,45,20,20,200
40,Wigglytuff,10,120,196,Normal,140,70,45,45,300
41,Zubat,8,75,49,Poison,40,45,35,55,175
42,Golbat,16,550,159,Poison,75,80,70,90,315
43,Oddish,5,54,64,Grass,45,50,55,30,180
44,Gloom,8,86,138,Grass,60,65,70,40,235
45,Vileplume,12,186,221,Grass,75,80,85,50,290
46,Paras,3,54,57,Bug,35,70,55,25,185
47,Parasect,10,295,142,Bug,60,95,80,30,265
48,Venonat,10,300,61,Bug,60,55,50,45,210
49,Venomoth,15,125,158,Bug,70,65,60,90,285
50,Diglett,2,8,53,Ground,10,55,25,95,185
51,Dugtrio,7,333,149,Ground,35,100,50,120,305
52,Meowth,4,42,58,Normal,40,45,35,90,210
53,Persian,10,320,154,Normal,65,70,60,115,310
54,Psyduck,8,196,64,Water,50,52,48,55,205
55,Golduck,17,766,175,Water,80,82,78,85,325
56,Mankey,5,280,61,Fighting,40,80,35,70,225
57,Primeape,10,320,159,Fighting,65,105,60,95,325
58,Growlithe,7,190,70,Fire,55,70,45,60,230
59,Arcanine,19,1550,194,Fire,90,110,80,95,375
60,Poliwag,6,124,60,Water,40,50,40,90,220
61,Poliwhirl,10,200,135,Water,65,65,65,90,285
62,Poliwrath,13,540,230,Water,90,95,95,70,350
63,Abra,9,195,62,Psychic,25,20,15,90,150
64,Kadabra,13,565,140,Psychic,40,35,30,105,210
65,Alakazam,15,480,225,Psychic,55,50,45,120,270
66,Machop,8,195,61,Fighting,70,80,50,35,235
67,Machoke,15,705,142,Fighting,80,100,70,45,295
68,Machamp,16,1300,227,Fighting,90,130,80,55,355
69,Bellsprout,7,40,60,Grass,50,75,35,40,200
70,Weepinbell,10,64,137,Grass,65,90,50,55,260
71,Victreebel,17,155,221,Grass,80,105,65,70,320
72,Tentacool,9,455,67,Water,40,40,35,70,185
73,Tentacruel,16,550,180,Water,80,70,65,100,315
74,Geodude,4,200,60,Rock,40,80,100,20,240
75,Graveler,10,1050,137,Rock,55,95,115,35,300
76,Golem,14,3000,223,Rock,80,120,130,45,375
77,Ponyta,10,300,82,Fire,50,85,55,90,280
78,Rapidash,17,950,175,Fire,65,100,70,105,340
79,Slowpoke,12,360,63,Water,90,65,65,15,235
80,Slowbro,16,785,172,Water,95,75,110,30,310
81,Magnemite,3,60,65,Electric,25,35,70,45,175
82,Magneton,10,600,163,Electric,50,60,95,70,275
83,Farfetchd,8,150,132,Normal,52,90,55,60,257
84,Doduo,14,392,62,Normal,35,85,45,75,240
85,Dodrio,18,852,165,Normal,60,110,70,110,350
86,Seel,11,900,65,Water,65,45,55,45,210
87,Dewgong,17,1200,166,Water,90,70,80,70,310
88,Grimer,9,300,65,Poison,80,80,50,25,235
89,Muk,12,300,175,Poison,105,105,75,50,335
90,Shellder,3,40,61,Water,30,65,100,40,235
91,Cloyster,15,1325,184,Water,50,95,180,70,395
92,Gastly,13,1,62,Ghost,30,35,30,80,175
93,Haunter,16,1,142,Ghost,45,50,45,95,235
94,Gengar,15,405,225,Ghost,60,65,60,110,295
95,Onix,88,2100,77,Rock,35,45,160,70,310
96,Drowzee,10,324,66,Psychic,60,48,45,42,195
97,Hypno,16,756,169,Psychic,85,73,70,67,295
98,Krabby,4,65,65,Water,30,105,90,50,275
99,Kingler,13,600,166,Water,55,130,115,75,375
100,Voltorb,5,104,66,Electric,40,30,50,100,220
